,Tickers
958,BRWM.L
959,GENL.XC
960,MOWIO.XC
961,0R01.IL
962,GEN.L
963,PBR
964,BRWML.XC
965,0Q89.L
966,BMY
967,TRYL.XC
968,CIHHF
969,OTV2.L
970,CIHKY
971,TRY.L
972,PBR-A
973,PGR
974,WKP.L
975,0MCK.IL
976,WKPL.XC
977,SUP.XC
978,0KHP.L
979,AIQUF
980,0J1R.L
981,AIQUY
982,0KTI.L
983,MDLZ
984,GISD.XC
985,IHP.L
986,BPCP.L
987,ADP
988,SOBIS.XC
989,BBGI.L
990,0KOC.L
991,CHGL.XC
992,RLLCF
993,MMC
994,MU
995,SRBD.XC
996,GILD
997,CHG.L
998,0QYQ.IL
999,BP
1000,0Q4U.IL
1001,ETN
1002,CB
1003,BPAQF
1004,ADI
1005,BBGIL.XC
1006,0H30.IL
1007,0R2T.IL
1008,0HRS.L
1009,0NWX.IL
1010,NZYMBC.XC
1011,CVS
1012,LARD.XC
1013,0HW4.L
1014,AMT
1015,UBS
1016,0QDX.IL
1017,0FWY.IL
1018,0F08.IL
1019,0NWF.IL
1020,AWEL.XC
1021,AWE.L
1022,0M3Q.L
1023,CSLLY
1024,0MI0.IL
1025,WOSG.L
1026,SPI.L
1027,SPIL.XC
1028,WOSGL.XC
1029,CBGL.XC
1030,SAINL.XC
1031,SAIN.L
1032,CBG.L
1033,FSVL.XC
1034,JUST.L
1035,AIP.XC
1036,JUSTL.XC
1037,MUTL.XC
1038,ABNB
1039,ALIVS.XC
1040,0JGH.L
1041,PIAIF
1042,0OJC.IL
1043,CMXHF
1044,0GWL.IL
1045,MUT.L
1046,TOELY
1047,TOELF
1048,0JZU.L
1049,THGL.XC
1050,SONG.L
1051,0R78.IL
1052,MTED.XC
1053,RWS.L
1054,CI
1055,THG.L
1056,HTWSL.XC
1057,AAIGF
1058,BSX
1059,0HEU.L
1060,FCSS.L
1061,FCSSL.XC
1062,MELI
1063,ZTS
1064,0VSO.IL
1065,ESLOY
1066,HTWS.L
1067,0R3T.IL
1068,ESLOF
1069,USB-PH
1070,CSUAY
1071,FUTRL.XC
1072,IBN
1073,0K0E.L
1074,PNGAY
1075,DAL.L
1076,AAGIY
1077,FUTR.L
1078,OCI.L
1079,0YAL.IL
1080,GS-PK
1081,0M2B.L
1082,BNPQY
1083,KLAC
1084,SNPMF
1085,0UKH.L
1086,JHD.L
1087,BNPQF
1088,0HOY.L
1089,FI
1090,EOT.L
1091,EOTL.XC
1092,FANL.XC
1093,BBH.L
1094,FAN.L
1095,0J8W.L
1096,BBHL.XC
1097,0FIN.IL
1098,CRN.L
1099,0KOD.L
1100,ANET
1101,CRNL.XC
1102,ICGT.L
1103,UKCML.XC
1104,FRCOY
1105,GS-PA
1106,STOHF
1107,UKCM.L
1108,0MCJ.L
1109,INFY
1110,NFG.L
1111,MS-PK
1112,SNPS
1113,ICGTL.XC
1114,SQZ.L
1115,UBSGZ.XC
1116,0NQC.IL
1117,RLXXF
1118,0HS2.L
1119,0MHZ.IL
1120,GLAXF
1121,GSK
1122,MS-PI
1123,0OMK.IL
1124,CNI
1125,VOLCBS.XC
1126,ELP.XC
1127,CILJF
1128,0H2Z.IL
1129,FRCOF
1130,CDNS
1131,MS-PF
1132,PBCRF
1133,0KII.IL
1134,0NL3.IL
1135,SHECF
1136,0JYW.L
1137,ARM
1138,MRCH.L
1139,REDDL.XC
1140,SHECY
1141,MRCHL.XC
1142,CFRUY
1143,TFIF.L
1144,0K92.L
1145,REDD.L
1146,SYNC.L
1147,CFRHF
1148,SHW
1149,ATLKY
1150,SYNCL.XC
1151,NBPE.L
1152,MS-PE
1153,0RGT.IL
1154,MGAM.L
1155,0LTG.L
1156,GS-PD
1157,SAFRY
1158,DGEAF
1159,HCA
1160,TFIFL.XC
1161,CRE.L
1162,ITW
1163,CREL.XC
1164,MS-PA
1165,EBBNF
1166,DGED.L
1167,SAFRF
1168,ATLPF
1169,DEO
1170,NBPEL.XC
1171,ABBNY
1172,ABLZF
1173,0R9U.IL
1174,APAX.L
1175,JFJ.L
1176,WDAY
1177,PBCRY
1178,ENB
1179,ZFSVF
1180,TGAL.XC
1181,EQIX
1182,AXAHY
1183,IBDSF
1184,0HBT.IL
1185,0UKI.L
1186,IBDRY
1187,APAXL.XC
1188,TGA.L
1189,ATLCY
1190,0HIT.IL
1191,KKR
1192,SO
1193,DOCSL.XC
1194,DOCS.L
1195,USB-PP
1196,ZURVY
1197,GSCTL.XC
1198,GSCT.L
1199,ELML.XC
1200,AXAHF
1201,BYDDY
1202,ELM.L
1203,TIFSL.XC
1204,DSCV.L
1205,BYDDF
1206,0L8B.L
1207,MSBHF
1208,0HFN.L
1209,DSCVL.XC
1210,TIFS.L
1211,ATLFF
1212,APEO.L
1213,0XHL.L
1214,MTSUY
1215,0IU8.IL
1216,SPT.L
1217,SPTL.XC
1218,CME
1219,0SCL.IL
1220,SLB
1221,VCISY
1222,DUK
1223,SYPD.XC
1224,VCISF
1225,HTHIF
1226,0LD8.L
1227,VOF.L
1228,ICE
1229,TRSTL.XC
1230,TRST.L
1231,APEOL.XC
1232,0HR2.L
1233,SNRL.XC
1234,0K36.L
1235,SNR.L
1236,0R9I.IL
1237,0QMU.IL
1238,0JC3.L
1239,0JG6.L
1240,0R31.IL
1241,0L8A.L
1242,0IUC.L
1243,HTHIY
1244,MO
1245,KDDIY
1246,CRWD
1247,0Z1W.L
1248,SAFP.XC
1249,SDP.L
1250,MCO
1251,ALPH.L
1252,CRW.L
1253,HFG.L
1254,JIIL.XC
1255,HFGL.XC
1256,ESOCF
1257,0HAR.IL
1258,0MR6.IL
1259,NOC
1260,SBID.IL
1261,MKGAF
1262,ENLAY
1263,MKKGY
1264,BSIF.L
1265,0ID1.L
1266,IBEE.XC
1267,MAR
1268,0NWW.L
1269,0MHM.IL
1270,0GT1.IL
1271,WMMVF
1272,ABBNZ.XC
1273,MBGAF
1274,DASTF
1275,PYPL
1276,IVSBF
1277,MBGYY
1278,0RQ9.IL
1279,0U5S.L
1280,CFRZ.XC
1281,CSX
1282,MSLHL.XC
1283,0NQM.IL
1284,SRC.L
1285,0XS9.IL
1286,RCRRF
1287,BDX
1288,MSLH.L
1289,0O14.IL
1290,GBG.L
1291,0A5O.IL
1292,TRI
1293,0P59.L
1294,WMMVY
1295,SBIDL.XC
1296,TMPL.L
1297,TMPLL.XC
1298,0KEF.L
1299,SMFNF
1300,CNQ
1301,0EDE.L
1302,0II4.L
1303,BMWYY
1304,0NXX.IL
1305,SBKFF
1306,0NX2.IL
1307,JII.L
1308,BAMXF
1309,0HJL.L
1310,DGP.XC
1311,0A93.IL
1312,SFTBF
1313,BTAFF
1314,SFTBY
1315,BYMOF
1316,0HLE.IL
1317,RNWH.L
1318,IVSXF
1319,SEIT.L
1320,CL
1321,BTI
1322,0H0U.L
1323,0LHY.L
1324,UNCFF
1325,SMFG
1326,BRSC.L
1327,IPX.L
